"StudentID","CustomID","Earned Points","Possible Points","Stu1","PriKey1","Points1","Mark1","Stu2","PriKey2","Points2","Mark2","Stu3","PriKey3","Points3","Mark3","Stu4","PriKey4","Points4","Mark4","Stu5","PriKey5","Points5","Mark5","Stu6","PriKey6","Points6","Mark6","Stu7","PriKey7","Points7","Mark7","Stu8","PriKey8","Points8","Mark8","Stu9","PriKey9","Points9","Mark9","Stu10","PriKey10","Points10","Mark10","Stu11","PriKey11","Points11","Mark11","Stu12","PriKey12","Points12","Mark12","Stu13","PriKey13","Points13","Mark13","Stu14","PriKey14","Points14","Mark14","Stu15","PriKey15","Points15","Mark15","Stu16","PriKey16","Points16","Mark16","Stu17","PriKey17","Points17","Mark17","Stu18","PriKey18","Points18","Mark18","Stu19","PriKey19","Points19","Mark19","Stu20","PriKey20","Points20","Mark20","Stu21","PriKey21","Points21","Mark21","Stu22","PriKey22","Points22","Mark22","Stu23","PriKey23","Points23","Mark23","Stu24","PriKey24","Points24","Mark24","Stu25","PriKey25","Points25","Mark25","Stu26","PriKey26","Points26","Mark26","Stu27","PriKey27","Points27","Mark27","Stu28","PriKey28","Points28","Mark28","Stu29","PriKey29","Points29","Mark29","Stu30","PriKey30","Points30","Mark30","Stu31","PriKey31","Points31","Mark31","Stu32","PriKey32","Points32","Mark32","Stu33","PriKey33","Points33","Mark33","Stu34","PriKey34","Points34","Mark34","Stu35","PriKey35","Points35","Mark35","Stu36","PriKey36","Points36","Mark36","Stu37","PriKey37","Points37","Mark37","Stu38","PriKey38","Points38","Mark38","Stu39","PriKey39","Points39","Mark39","Stu40","PriKey40","Points40","Mark40","Stu41","PriKey41","Points41","Mark41","Stu42","PriKey42","Points42","Mark42","Stu43","PriKey43","Points43","Mark43","Stu44","PriKey44","Points44","Mark44","Stu45","PriKey45","Points45","Mark45","Stu46","PriKey46","Points46","Mark46","Stu47","PriKey47","Points47","Mark47","Stu48","PriKey48","Points48","Mark48","Stu49","PriKey49","Points49","Mark49","Stu50","PriKey50","Points50","Mark50","Stu51","PriKey51","Points51","Mark51","Stu52","PriKey52","Points52","Mark52","Stu53","PriKey53","Points53","Mark53","Stu54","PriKey54","Points54","Mark54","Stu55","PriKey55","Points55","Mark55","Stu56","PriKey56","Points56","Mark56","Stu57","PriKey57","Points57","Mark57","Stu58","PriKey58","Points58","Mark58","Stu59","PriKey59","Points59","Mark59","Stu60","PriKey60","Points60","Mark60","Stu61","PriKey61","Points61","Mark61","Stu62","PriKey62","Points62","Mark62","Stu63","PriKey63","Points63","Mark63","Stu64","PriKey64","Points64","Mark64","Stu65","PriKey65","Points65","Mark65","Stu66","PriKey66","Points66","Mark66","Stu67","PriKey67","Points67","Mark67","Stu68","PriKey68","Points68","Mark68","Stu69","PriKey69","Points69","Mark69","Stu70","PriKey70","Points70","Mark70","Stu71","PriKey71","Points71","Mark71","Stu72","PriKey72","Points72","Mark72","Stu73","PriKey73","Points73","Mark73","Stu74","PriKey74","Points74","Mark74","Stu75","PriKey75","Points75","Mark75","Stu76","PriKey76","Points76","Mark76","Stu77","PriKey77","Points77","Mark77","Stu78","PriKey78","Points78","Mark78","Stu79","PriKey79","Points79","Mark79","Stu80","PriKey80","Points80","Mark80","Stu81","PriKey81","Points81","Mark81","Stu82","PriKey82","Points82","Mark82","Stu83","PriKey83","Points83","Mark83","Stu84","PriKey84","Points84","Mark84","Stu85","PriKey85","Points85","Mark85","Stu86","PriKey86","Points86","Mark86","Stu87","PriKey87","Points87","Mark87","Stu88","PriKey88","Points88","Mark88","Stu89","PriKey89","Points89","Mark89","Stu90","PriKey90","Points90","Mark90","Stu91","PriKey91","Points91","Mark91","Stu92","PriKey92","Points92","Mark92","Stu93","PriKey93","Points93","Mark93","Stu94","PriKey94","Points94","Mark94","Stu95","PriKey95","Points95","Mark95","Stu96","PriKey96","Points96","Mark96","Stu97","PriKey97","Points97","Mark97","Stu98","PriKey98","Points98","Mark98","Stu99","PriKey99","Points99","Mark99","Stu100","PriKey100","Points100","Mark100"
"81245","2014081245","78.4","100.1","A","A","1.3","C","C","C","1.3","C","A","A","1.3","C","A","A","1.3","C","A","AC","0.6","P","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","B","B","1.3","C","CD","D","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","CD","CD","1.3","C","A","AD","0.6","P","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","A","A","1.3","C","B","BC","0.6","P","AC","ACD","0.9","P","B","B","2.6","C","B","A","0","X","A","A","1.3","C","D","D","1.3","C","BE","BE","1.3","C","D","B","1.3","C","A","B","0","X","B","B","1.3","C","B","B","1.3","C","AD","AE","0","X","B","B","1.3","C","ACD","ACD","1.3","C","B","A","0","X","C","C","2.6","C","A","A","1.3","C","ABC","B","1.3","C","A","A","1.3","C","A","A","1.3","C","A","D","0","X","A","A","1.3","C","A","A","1.3","C","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","A","0","X","B","B","1.3","C","C","A","0","X","D","ABD","0.4","P","A","C","1.3","C","D","D","2.6","C","B","BD","0.6","P","B","B","1.3","C","ACE","E","0","X","C","A","0","X","D","D","1.3","C","A","A","1.3","C","B","A","0","X","B","B","1.3","C","B","BC","0.6","P","A","A","1.3","C","A","A","1.3","C","C","C","1.3","C","ABC","ABC","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","D","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"3728","3728","62.6","100.1","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","AB","0.6","P","ACD","ACD","1.3","C","B","B","1.3","C","A","AC","0.6","P","B","A","0","X","C","BC","0.6","P","C","BCD","0.4","P","B","B","1.3","C","D","C","0","X","A","A","1.3","C","D","CD","0.6","P","B","B","1.3","C","BC","B","1.3","C","A","A","1.3","C","D","B","0","X","C","C","1.3","C","C","ACD","0.4","P","B","B","1.3","C","B","AB","0.6","P","B","A","0","X","A","D","0","X","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","C","1.3","C","A","A","1.3","C","A","A","1.3","C","A","B","0","X","D","B","0","X","C","C","1.3","C","B","A","0","X","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","B","0","X","A","A","1.3","C","B","B","1.3","C","B","A","0","X","A","A","2.6","C","D","D","1.3","C","A","B","1.3","C","AB","AB","1.3","C","B","BD","0.6","P","A","A","1.3","C","B","D","0","X","A","A","1.3","C","A","B","0","X","D","C","0","X","A","C","1.3","C","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","C","ABC","0.4","P","A","AB","0.6","P","B","B","1.3","C","A","B","0","X","B","B","1.3","C","A","B","0","X","C","C","2.6","C","A","B","0","X","B","E","0","X","A","B","0","X","BCE","CD","0","X","A","A","1.3","C","C","C","1.3","C","BD","C","0","X","A","B","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"41100","201241100","61.6","100.1","A","A","1.3","C","B","C","0","X","B","A","0","X","A","A","1.3","C","AC","AC","1.3","C","C","B","0","X","A","A","1.3","C","B","B","1.3","C","B","B","1.3","C","D","D","1.3","C","A","A","1.3","C","A","B","0","X","A","A","1.3","C","AC","CD","0","X","D","AD","0.6","P","B","B","1.3","C","C","B","0","X","A","A","1.3","C","B","A","0","X","B","BC","0.6","P","A","ACD","0.4","P","B","B","2.6","C","A","A","1.3","C","A","A","1.3","C","D","D","1.3","C","B","BE","0.6","P","D","B","1.3","C","B","B","1.3","C","A","B","0","X","B","B","1.3","C","A","AE","0.6","P","B","B","1.3","C","C","ACD","0.4","P","B","A","0","X","C","C","2.6","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","A","0","X","D","D","1.3","C","B","A","0","X","A","A","1.3","C","A","AB","0.6","P","B","B","1.3","C","B","B","1.3","C","A","B","0","X","B","A","0","X","B","B","1.3","C","A","A","1.3","C","B","A","0","X","A","B","0","X","C","A","0","X","CD","ABD","0","X","B","C","1.3","C","D","D","2.6","C","C","BD","0","X","B","B","1.3","C","D","E","0","X","D","A","0","X","C","D","0","X","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","B","BC","0.6","P","B","A","0","X","A","A","1.3","C","C","C","1.3","C","D","ABC","0","X","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","D","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"82461","2014082461","72.9","100.1","A","A","1.3","C","D","C","0","X","A","A","1.3","C","A","A","1.3","C","D","AC","0","X","C","B","0","X","A","A","1.3","C","B","B","1.3","C","B","B","1.3","C","C","D","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","CD","CD","1.3","C","AD","AD","1.3","C","B","B","1.3","C","C","B","0","X","A","A","1.3","C","B","A","0","X","C","BC","0.6","P","ACD","ACD","1.3","C","B","B","2.6","C","A","A","1.3","C","A","A","1.3","C","D","D","1.3","C","DE","BE","0","X","D","B","1.3","C","B","B","1.3","C","A","B","0","X","B","B","1.3","C","A","AE","0.6","P","B","B","1.3","C","","ACD","0","X","A","A","1.3","C","C","C","2.6","C","A","A","1.3","C","ABC","B","1.3","C","A","A","1.3","C","A","A","1.3","C","A","D","0","X","A","A","1.3","C","A","A","1.3","C","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","B","A","0","X","A","A","1.3","C","B","B","1.3","C","C","A","0","X","AD","ABD","0.9","P","A","C","1.3","C","D","D","2.6","C","BD","BD","1.3","C","BD","B","0","X","AE","E","0","X","C","A","0","X","D","D","1.3","C","A","A","1.3","C","B","A","0","X","B","B","1.3","C","C","BC","0.6","P","A","A","1.3","C","B","A","0","X","C","C","1.3","C","ABC","ABC","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","D","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"51762","2013051762","74.3","100.1","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","B","A","0","X","C","B","0","X","ABC","AB","0","X","ACD","ACD","1.3","C","B","B","1.3","C","AC","AC","1.3","C","A","A","1.3","C","AC","BC","0","X","BC","BCD","0.9","P","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","CD","CD","1.3","C","A","B","0","X","AB","B","1.3","C","B","A","0","X","D","B","0","X","C","C","1.3","C","AC","ACD","0.9","P","B","B","1.3","C","AB","AB","1.3","C","B","A","0","X","D","D","2.6","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","BC","C","0","X","B","A","0","X","A","A","1.3","C","AB","B","0","X","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","B","B","1.3","C","B","A","0","X","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","2.6","C","A","A","2.6","C","B","D","1.3","C","B","B","1.3","C","A","AB","0.6","P","BD","BD","1.3","C","A","A","1.3","C","B","D","0","X","A","A","1.3","C","B","B","1.3","C","C","C","1.3","C","AC","C","1.3","C","B","B","1.3","C","C","C","1.3","C","B","A","0","X","A","ABC","0.4","P","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","B","0","X","C","C","2.6","C","B","B","1.3","C","E","E","1.3","C","A","B","0","X","BD","CD","0","X","A","A","1.3","C","C","C","1.3","C","C","C","1.3","C","AB","B","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"53647","2014053647","79","100.1","A","A","1.3","C","C","C","1.3","C","A","A","1.3","C","A","A","1.3","C","B","AC","0","X","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","B","B","1.3","C","CD","D","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","CD","CD","1.3","C","AD","AD","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","A","A","1.3","C","BC","BC","1.3","C","A","ACD","0.4","P","B","B","2.6","C","A","A","1.3","C","A","A","1.3","C","D","D","1.3","C","BE","BE","1.3","C","D","B","1.3","C","A","B","0","X","B","B","1.3","C","B","B","1.3","C","AD","AE","0","X","A","B","0","X","D","ACD","0.4","P","B","A","0","X","C","C","2.6","C","A","A","1.3","C","AC","B","1.3","C","A","A","1.3","C","A","A","1.3","C","A","D","0","X","A","A","1.3","C","A","A","1.3","C","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","A","0","X","B","B","1.3","C","A","A","1.3","C","ABD","ABD","1.3","C","C","C","1.3","C","D","D","2.6","C","BD","BD","1.3","C","BD","B","0","X","ACE","E","0","X","D","A","0","X","D","D","1.3","C","A","A","1.3","C","D","A","0","X","B","B","1.3","C","C","BC","0.6","P","A","A","1.3","C","A","A","1.3","C","C","C","1.3","C","BC","ABC","0.9","P","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","D","0","X","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"20533","2014120533","72.3","100.1","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","","AB","0","X","","ACD","0","X","B","B","1.3","C","AC","AC","1.3","C","A","A","1.3","C","C","BC","0.6","P","BCD","BCD","1.3","C","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","CD","CD","1.3","C","B","B","1.3","C","ABC","B","1.3","C","A","A","1.3","C","D","B","0","X","C","C","1.3","C","ACD","ACD","1.3","C","B","B","1.3","C","AB","AB","1.3","C","A","A","1.3","C","C","D","0","X","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","C","1.3","C","B","A","0","X","A","A","1.3","C","AB","B","0","X","ABD","B","0","X","B","C","0","X","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","B","0","X","A","A","1.3","C","B","B","1.3","C","D","A","0","X","A","A","2.6","C","B","D","1.3","C","AC","B","1.3","C","AB","AB","1.3","C","BD","BD","1.3","C","A","A","1.3","C","B","D","0","X","A","A","1.3","C","A","B","0","X","D","C","0","X","ABC","C","1.3","C","B","B","1.3","C","A","C","0","X","A","A","1.3","C","AC","ABC","0.9","P","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","B","0","X","C","C","2.6","C","B","B","1.3","C","E","E","1.3","C","A","B","0","X","C","CD","0.6","P","A","A","1.3","C","A","C","0","X","A","C","0","X","B","B","1.3","C","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"96391","2014096391","82.7","100.1","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","AB","0.6","P","AC","ACD","0.9","P","B","B","1.3","C","AC","AC","1.3","C","A","A","1.3","C","B","BC","0.6","P","B","BCD","0.4","P","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","D","CD","0.6","P","B","B","1.3","C","ABC","B","1.3","C","A","A","1.3","C","B","B","1.3","C","C","C","1.3","C","C","ACD","0.4","P","B","B","1.3","C","B","AB","0.6","P","B","A","0","X","D","D","2.6","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","C","1.3","C","A","A","1.3","C","A","A","1.3","C","A","B","0","X","BC","B","0","X","C","C","1.3","C","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","A","B","0","X","A","A","1.3","C","B","B","1.3","C","A","A","2.6","C","A","A","2.6","C","B","D","1.3","C","AB","B","1.3","C","AC","AB","0","X","BD","BD","1.3","C","A","A","1.3","C","B","D","0","X","A","A","1.3","C","B","B","1.3","C","D","C","0","X","AC","C","1.3","C","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","ABC","ABC","1.3","C","A","AB","0.6","P","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","B","0","X","C","C","2.6","C","B","B","1.3","C","E","E","1.3","C","B","B","1.3","C","CD","CD","1.3","C","A","A","1.3","C","C","C","1.3","C","B","C","0","X","B","B","1.3","C","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""
"10852","2014010852","75.6","100.1","A","A","1.3","C","A","A","2.6","C","B","B","1.3","C","A","A","1.3","C","A","B","0","X","ABD","AB","0","X","CD","ACD","0.9","P","B","B","1.3","C","AC","AC","1.3","C","A","A","1.3","C","C","BC","0.6","P","BCD","BCD","1.3","C","A","B","0","X","C","C","1.3","C","A","A","1.3","C","ACD","CD","0","X","B","B","1.3","C","D","B","1.3","C","B","A","0","X","B","B","1.3","C","C","C","1.3","C","ACD","ACD","1.3","C","B","B","1.3","C","AB","AB","1.3","C","A","A","1.3","C","C","D","0","X","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","C","C","1.3","C","B","A","0","X","A","A","1.3","C","B","B","1.3","C","BCE","B","0","X","BCD","C","0","X","A","A","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","B","B","1.3","C","A","A","1.3","C","B","B","1.3","C","C","A","0","X","D","A","0","X","B","D","1.3","C","B","B","1.3","C","AB","AB","1.3","C","BD","BD","1.3","C","A","A","1.3","C","B","D","0","X","A","A","1.3","C","B","B","1.3","C","C","C","1.3","C","ABC","C","1.3","C","B","B","1.3","C","C","C","1.3","C","A","A","1.3","C","ABC","ABC","1.3","C","AB","AB","1.3","C","B","B","1.3","C","B","B","1.3","C","B","B","1.3","C","A","B","0","X","C","C","2.6","C","B","B","1.3","C","E","E","1.3","C","A","B","0","X","CD","CD","1.3","C","A","A","1.3","C","C","C","1.3","C","AC","C","0","X","B","B","1.3","C","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0","","","","0",""